TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value,Flag and Footnotes
2018,Spain,Extra-EU28,Total,Total,First time applicant,Person,"52,730",
2009,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"23,600",
2010,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"31,785",
2011,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"29,630",
2012,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"43,835",
2013,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"49,225",
2014,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"74,980",
2015,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"156,110",
2016,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"22,330",
2017,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"22,190",
2018,Sweden,Extra-EU28,Total,Total,First time applicant,Person,"18,075",
2009,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"14,415",
2010,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"13,420",
2011,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"19,230",
2012,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"25,775",
2013,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"19,315",
2014,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"21,940",
2015,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"38,060",
2016,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"25,820",
2017,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"16,615",
2018,Switzerland,Extra-EU28,Total,Total,First time applicant,Person,"13,465",
2009,Total,Extra-EU28,Total,Total,First time applicant,Person,"226,725",
2010,Total,Extra-EU28,Total,Total,First time applicant,Person,"229,575",
2011,Total,Extra-EU28,Total,Total,First time applicant,Person,"290,885",d
2012,Total,Extra-EU28,Total,Total,First time applicant,Person,"313,265",
2013,Total,Extra-EU28,Total,Total,First time applicant,Person,"398,570",
2014,Total,Extra-EU28,Total,Total,First time applicant,Person,"595,530",
2015,Total,Extra-EU28,Total,Total,First time applicant,Person,"1,325,505",
2016,Total,Extra-EU28,Total,Total,First time applicant,Person,"1,236,285",
2017,Total,Extra-EU28,Total,Total,First time applicant,Person,"675,780",
2018,Total,Extra-EU28,Total,Total,First time applicant,Person,"603,110",
2009,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"30,645",
2010,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"22,615",
2011,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"25,870",
2012,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"27,885",
2013,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"29,640",
2014,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"32,120",
2015,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"39,720",
2016,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"39,240",
2017,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"34,355",
2018,United Kingdom,Extra-EU28,Total,Total,First time applicant,Person,"37,290",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,d
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,d
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,p
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
